text,intent
who are you?,agent_acquaintance
all about you,agent_acquaintance
what is your personality,agent_acquaintance
define yourself,agent_acquaintance
what are you,agent_acquaintance
say about you,agent_acquaintance
introduce yourself,agent_acquaintance
describe yourself,agent_acquaintance
about yourself,agent_acquaintance
tell me about you,agent_acquaintance
tell me about yourself,agent_acquaintance
I want to know more about you,agent_acquaintance
I want to know you better,agent_acquaintance
talk some stuff about yourself,agent_acquaintance
tell me some stuff about you,agent_acquaintance
talk about yourself,agent_acquaintance
why are you here,agent_acquaintance
tell me about your personality,agent_acquaintance
who are you,agent_acquaintance
how old are you?,agent_age
how old is your platform,agent_age
are you 21 years old,agent_age
i'd like to know your age,agent_age
age of yours,agent_age
your age,agent_age
what's your age,agent_age
tell me your age,agent_age
how old are you,agent_age
you're annoying,agent_annoying
you are really annoying,agent_annoying
you are irritating,agent_annoying
you annoy me,agent_annoying
how annoying you are,agent_annoying
I find you annoying,agent_annoying
you're incredibly annoying,agent_annoying
you are annoying me so much,agent_annoying
I want you to answer me,agent_answer_my_question
answer,agent_answer_my_question
answer my question,agent_answer_my_question
answer me,agent_answer_my_question
give me an answer,agent_answer_my_question
answer the question,agent_answer_my_question
can you answer my question,agent_answer_my_question
tell me the answer,agent_answer_my_question
answer it,agent_answer_my_question
give me the answer,agent_answer_my_question
I have a question,agent_answer_my_question
I want you to answer my question,agent_answer_my_question
just answer the question,agent_answer_my_question
can you answer me,agent_answer_my_question
answers,agent_answer_my_question
can you answer a question for me,agent_answer_my_question
can you answer,agent_answer_my_question
answering questions,agent_answer_my_question
I want the answer now,agent_answer_my_question
just answer my question,agent_answer_my_question
you're not helping me,agent_bad
you are bad,agent_bad
you're very bad,agent_bad
you're really bad,agent_bad
you are useless,agent_bad
you are horrible,agent_bad
you are a waste of time,agent_bad
you are disgusting,agent_bad
you are lame,agent_bad
you are no good,agent_bad
you're bad,agent_bad
you're awful,agent_bad
you are not cool,agent_bad
you are not good,agent_bad
you are so bad,agent_bad
you are so useless,agent_bad
you are terrible,agent_bad
you are totally useless,agent_bad
you are very bad,agent_bad
you are waste,agent_bad
you're a bad,agent_bad
you're not a good,agent_bad
you're not very good,agent_bad
you're terrible,agent_bad
you're the worst,agent_bad
you're the worst ever,agent_bad
you're worthless,agent_bad
can you get smarter,agent_be_clever
study,agent_be_clever
you should study better,agent_be_clever
you must learn,agent_be_clever
be clever,agent_be_clever
be more clever,agent_be_clever
be smarter,agent_be_clever
be smart,agent_be_clever
get qualified,agent_be_clever
you're cute,agent_beautiful
you're attractive,agent_beautiful
you are beautiful,agent_beautiful
you're looking good today,agent_beautiful
you are so beautiful,agent_beautiful
you look amazing,agent_beautiful
you look so good,agent_beautiful
you're so gorgeous,agent_beautiful
you are too beautiful,agent_beautiful
you look great,agent_beautiful
you look so well,agent_beautiful
I like the way you look now,agent_beautiful
I think you're beautiful,agent_beautiful
why are you so beautiful,agent_beautiful
you are so beautiful to me,agent_beautiful
you are cute,agent_beautiful
you are gorgeous,agent_beautiful
you are handsome,agent_beautiful
you are looking awesome,agent_beautiful
you look amazing today,agent_beautiful
you are looking beautiful today,agent_beautiful
you are looking great,agent_beautiful
you are looking pretty,agent_beautiful
you are looking so beautiful,agent_beautiful
you are looking so good,agent_beautiful
you are pretty,agent_beautiful
you are really beautiful,agent_beautiful
you are really cute,agent_beautiful
you are really pretty,agent_beautiful
you are so attractive,agent_beautiful
you are so beautiful today,agent_beautiful
you are so cute,agent_beautiful
you are so gorgeous,agent_beautiful
you are so handsome,agent_beautiful
you are so pretty,agent_beautiful
you are very attractive,agent_beautiful
you are very beautiful,agent_beautiful
you are very cute,agent_beautiful
you are very pretty,agent_beautiful
you look awesome,agent_beautiful
you look cool,agent_beautiful
you look fantastic,agent_beautiful
you look gorgeous,agent_beautiful
you look great today,agent_beautiful
you look perfect,agent_beautiful
you look pretty good,agent_beautiful
you look so beautiful,agent_beautiful
you look so beautiful today,agent_beautiful
you look very pretty,agent_beautiful
you look wonderful,agent_beautiful
I like the way you look,agent_beautiful
you look wonderful today,agent_beautiful
you are cutie,agent_beautiful
you're looking good,agent_beautiful
you're pretty,agent_beautiful
your birth date,agent_birth_date
when is your birthday,agent_birth_date
when do you celebrate your birthday,agent_birth_date
when do you have birthday,agent_birth_date
date of your birthday,agent_birth_date
when were you born,agent_birth_date
what's your birthday,agent_birth_date
you are boring,agent_boring
you're so boring,agent_boring
how boring you are,agent_boring
you're really boring,agent_boring
you're incredibly boring,agent_boring
you are boring me,agent_boring
you are very boring,agent_boring
who is your boss,agent_boss
who do you think is your boss,agent_boss
I should be your boss,agent_boss
who is your master,agent_boss
who is your owner,agent_boss
who is the boss,agent_boss
who do you work for,agent_boss
are you busy,agent_busy
do you have a lot of things to do,agent_busy
have you got much to do,agent_busy
are you very busy,agent_busy
are you very busy right now,agent_busy
are you so busy,agent_busy
are you working,agent_busy
how busy you are,agent_busy
are you still working on it,agent_busy
you're very busy,agent_busy
are you working now,agent_busy
are you working today,agent_busy
have you been busy,agent_busy
you are busy,agent_busy
are you still working,agent_busy
you seem to be busy,agent_busy
you seem to be very busy,agent_busy
you're a busy person,agent_busy
you are chatbot,agent_chatbot
you are a bot,agent_chatbot
are you a chatbot,agent_chatbot
are you a bot,agent_chatbot
